STAID,CLASS,AGGECOREGION,HYDRO_DISTURB_INDX,WR_REPORT_REMARKS,ADR_CITATION,SCREENING_COMMENTS
7048800,Ref,EastHghlnds,8,Gage is occasionally effected by backwater from Beaver Lake.,http://wdr.water.usgs.gov/wy2009/pdfs/07048800.2009.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
7049000,Ref,EastHghlnds,12,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/07049000.2006.pdf,"ag uplands, forested valleys, NEoA"
7050152,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2009/pdfs/07050152.2009.pdf,"forested uplands & riparian, mod ag, lt develop, NEoA"
7053250,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2009/pdfs/07053250.2009.pdf,"forested uplands & mod ag valleys, NEoA"
7053810,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/07053810.2008.pdf,"forest & ag, lt development, NEoA"
7054080,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/07054080.2008.pdf,"forest & ag, lt development, NEoA"
7055646,Ref,EastHghlnds,3,,http://wdr.water.usgs.gov/wy2008/pdfs/07055646.2008.pdf,"undeveloped, NEoA"
7055875,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/07055875.2008.pdf,"undeveloped, NEoA"
7056000,Ref,EastHghlnds,9,,2005 ADR,National River
7056515,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2008/pdfs/07056515.2008.pdf,"ag & forest, NEoA"
7056700,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2009/pdfs/07056700.2009.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
7057000,Ref,EastHghlnds,9,,1970 ADR,"mod ag, forested uplands, NEoA"
7057500,Ref,EastHghlnds,7,,2002 ADR,"mostly forested uplands, mod ag valleys, town in hw, NEoA"
7058000,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2007/pdfs/07058000.2007.pdf,"mostly forested uplands, mod ag valleys, town in hw, NEoA"
7060710,Ref,EastHghlnds,6,,2005 ADR,"HBN, NAWQA SWST Reference site"
7061270,Ref,EastHghlnds,12,,http://wdr.water.usgs.gov/wy2008/pdfs/07061270.2008.pdf,"forested, lt develop, NEoA"
7064300,Ref,EastHghlnds,9,,1976 ADR,"NEoA, pasture & forest"
7064440,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/07064440.2008.pdf,"forest & ag, lt development, NEoA"
7064500,Ref,EastHghlnds,8,,1975 ADR,"mostly forested uplands, mod ag valleys, NEoA"
7064533,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2008/pdfs/07064533.2008.pdf,"forest & ag, lt development, NEoA"
7065200,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2008/pdfs/07065200.2008.pdf,"forest & ag, lt development, NEoA"
7065495,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2008/pdfs/07065495.2008.pdf,"forest & ag, lt development, NEoA"
7066000,Ref,EastHghlnds,7,,2002 ADR,OZARK Scenic Riverways
7066500,Ref,EastHghlnds,7,,1975 ADR,"Ozark Riverways Nat River, small town on trib"
7067000,Ref,EastHghlnds,7,,2002 ADR,Ozark Riverways Nat River
7068000,Ref,EastHghlnds,7,,2002 ADR,"forested upands, mod ag & lt devlopment in basin, small towns,NEoA"
7070500,Ref,EastHghlnds,9,,1976 ADR,"mixed ag & forest, small towns, NEoA"
7071500,Ref,EastHghlnds,7,,2002 ADR,"wild & scenic river, nat'l forest"
7072000,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2007/pdfs/07072000.2007.pdf,"mixed ag & forest, small towns, NEoA"
7073500,Ref,EastHghlnds,8,,1984 ADR,"forested uplands, mod ag hw, NEoA"
7075000,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2007/pdfs/07075000.2007.pdf,"mod ag, lt development, forested uplands, NEoA"
7075300,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2007/pdfs/07075300.2007.pdf,"prox lt urban, forested uplands lt ag valleys, NEoA"
7185500,Ref,EastHghlnds,12,,1976 ADR,"mod-hvy ag, forested riparian, NEoA"
7186400,Ref,EastHghlnds,17,,1991 ADR,"small ponds on tirbs, hvy ag, forested riparian, NEoA"
7188653,Ref,EastHghlnds,12,,http://wdr.water.usgs.gov/wy2008/pdfs/07188653.2008.pdf,"ag & forest, lt develop, NEoA"
7189100,Ref,EastHghlnds,13,,http://wdr.water.usgs.gov/wy2008/pdfs/07189100.2008.pdf,"mod ag, forested lowlands, lt develop, NEoA"
7191222,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2008/pdfs/07191222.2008.pdf,"ag, forested rip, mod ag, lt develop, NEoA"
7195800,Ref,EastHghlnds,15,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/07195800.2006.pdf,"fish hatchery on trib, mod-hvy ag, some small ponds, NEoA"
7196900,Ref,EastHghlnds,10,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/07196900.2006.pdf,"mod ag valleys, forested uplands, suburban in hw of trib, NEoA"
7197000,Ref,EastHghlnds,11,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/07197000.2006.pdf,"upstrm small towns, mod ag, NEoA"
7197360,Ref,EastHghlnds,12,,http://wdr.water.usgs.gov/wy2008/pdfs/07197360.2008.pdf,"ag, forest rip, lt develop, NEoA"
7247250,Ref,EastHghlnds,4,,http://wdr.water.usgs.gov/wy2009/pdfs/07247250.2009.pdf,"forest uplands, ag valleys, lt develop, NEoA"
7249500,Ref,EastHghlnds,7,,1970 ADR,"NEoA, lt ag in valley, some small ponds on minor tribs"
7249800,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2008/pdfs/07249800.2008.pdf,"forest & ag, lt development, NEoA"
7249920,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2008/pdfs/07249920.2008.pdf,"forest & ag, lt development, NEoA"
7249985,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2007/pdfs/07249985.2007.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
7250000,Ref,EastHghlnds,8,,1992 ADR,"mod ag, lt development, forested uplands, NEoA"
7250935,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2009/pdfs/07250935.2009.pdf,"forest & ag, lt develop, NEoA"
7250965,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2009/pdfs/07250965.2009.pdf,"forest & lt develop, NEoA"
7250974,Ref,EastHghlnds,5,,http://wdr.water.usgs.gov/wy2009/pdfs/07250974.2009.pdf,"forest uplands, ag valleys, lt develop, NEoA"
7252000,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2007/pdfs/07252000.2007.pdf,"forested uplands, mod ag valleys, impoundmtn on prox trib"
7257000,Ref,EastHghlnds,8,,1992 ADR,"forested upands, mod ag & lt devlopment in basin, NEoA"
7257006,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2007/pdfs/07257006.2007.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
7260000,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2007/pdfs/07260000.2007.pdf,"mostly forested, lt ag & development, NEoA"
7261000,Ref,EastHghlnds,10,,2002 ADR,"mod ag & forested basin, NEoA"
7263295,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/07263295.2008.pdf,"forest, lt ag & develop, NEoA"
72632962,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2009/pdfs/072632962.2009.pdf,"forest, lt ag & develop, NEoA"
72632971,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2009/pdfs/072632971.2009.pdf,"forest & lt develop, NEoA"
72632982,Ref,EastHghlnds,10,,http://wdr.water.usgs.gov/wy2009/pdfs/072632982.2009.pdf,"forest & lt develop, NEoA"
7335700,Ref,EastHghlnds,4,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/07335700.2006.pdf,"HBN, mostly forested, NEoA"
7340300,Ref,EastHghlnds,4,,2005 ADR,NEoA
7359610,Ref,EastHghlnds,4,,http://wdr.water.usgs.gov/wy2009/pdfs/07359610.2009.pdf,"forest, lt ag & develop, NEoA"
7359800,Ref,EastHghlnds,8,,1970 ADR,"ag in valley, small towns upstrm, forested hw, NEoA"
7360200,Ref,EastHghlnds,5,,http://wdr.water.usgs.gov/wy2008/pdfs/07360200.2008.pdf,"forest, lt ag & develop, NEoA"
7362587,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2008/pdfs/07362587.2008.pdf,"forest, lt ag & develop, NEoA"
7362656,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/07362656.2008.pdf,"forest, lt develop, NEoA"
